pivot_selector,pivot_ip,discovered_domain,source
Backfill,104.245.35.46,www.gogravity.xyz,AlienVault_OTX
Backfill,104.245.35.46,predict.gogravity.xyz,AlienVault_OTX
Backfill,104.245.35.46,scan.gogravity.xyz,AlienVault_OTX
Backfill,104.245.35.46,gogravity.xyz,AlienVault_OTX
Backfill,104.245.35.46,download.austeregrim.net,AlienVault_OTX
Backfill,104.245.35.46,medpressonline.co,AlienVault_OTX
Backfill,104.245.35.46,www.medpressonline.co,AlienVault_OTX
Backfill,108.181.201.75,asanbill.com,AlienVault_OTX
Backfill,138.199.129.244,usmail.one,AlienVault_OTX
Backfill,14.225.231.130,ns1.host69.vietnix.vn,AlienVault_OTX
Backfill,140.233.190.178,vanishade.me,AlienVault_OTX
Backfill,140.233.190.178,www.vanishade.me,AlienVault_OTX
Backfill,143.110.180.128,dropmail.space,AlienVault_OTX
Backfill,143.110.180.128,dartyy.info,AlienVault_OTX
Backfill,143.110.180.128,e2e-dbaas-mongodb-hefhd-r-eed4f1bf.mongo.ondigitalocean.com,AlienVault_OTX
Backfill,143.110.180.128,piudir.xyz,AlienVault_OTX
Backfill,143.110.238.158,e2e-dbaas-mongodb-zvmb6-r-741ea689.mongo.ondigitalocean.com,AlienVault_OTX
Backfill,143.110.238.158,siosi.vip,AlienVault_OTX
Backfill,143.110.238.158,www.dev-aputure.do.limegrow.com,AlienVault_OTX
Backfill,143.110.238.158,dev-aputure.do.limegrow.com,AlienVault_OTX
Backfill,143.47.60.192,traefik.mtex.pt,AlienVault_OTX
Backfill,144.91.107.45,tinyhost.shop,AlienVault_OTX
Backfill,149.56.133.86,mingjie.info,AlienVault_OTX
Backfill,149.56.133.86,analytics.mingjie.info,AlienVault_OTX
Backfill,15.206.28.181,www.windowtechs.co.in,AlienVault_OTX
Backfill,15.206.28.181,windowtechs.co.in,AlienVault_OTX
Backfill,15.206.28.181,byondbags.com,AlienVault_OTX
Backfill,15.206.28.181,www.byondbags.com,AlienVault_OTX
Backfill,151.240.0.64,emailqu.com,AlienVault_OTX
Backfill,152.70.253.59,www.q4b.cc,AlienVault_OTX
Backfill,152.70.253.59,freema.ml,AlienVault_OTX
Backfill,154.18.239.18,tensimail.com,AlienVault_OTX
Backfill,155.138.223.172,storage.10mins.email,AlienVault_OTX
Backfill,155.138.223.172,room.10mins.email,AlienVault_OTX
Backfill,155.138.223.172,10mins.email,AlienVault_OTX
Backfill,156.67.110.96,temzora.com,AlienVault_OTX
Backfill,156.67.110.96,throwinbox.com,AlienVault_OTX
Backfill,156.67.110.96,www.ophircom.ci,AlienVault_OTX
